Date Administered,AgeGroupVacc,7-day_avg_group_cases_per_100k,Administered_Dose1_pct_agegroup,Series_Complete_Pop_pct_agegroup
01/15/2022 12:00:00 AM,5 - 11 Years,51.27291582,0.279,0.187
01/14/2022 12:00:00 AM,5 - 11 Years,62.08534606,0.278,0.186
01/14/2022 12:00:00 AM,12 - 17 Years,73.41192693,0.65,0.545
01/14/2022 12:00:00 AM,18 - 24 Years,77.9631905,0.742,0.599
01/14/2022 12:00:00 AM,25 - 39 Years,73.41292844,0.771,0.64
01/14/2022 12:00:00 AM,40 - 49 Years,65.97253788,0.846,0.721
01/14/2022 12:00:00 AM,50 - 64 Years,49.22609212,0.916,0.79
01/14/2022 12:00:00 AM,65 - 74 Years,28.96866059,0.95,0.903
01/14/2022 12:00:00 AM,75+ Years,31.27826079,0.95,0.848
01/13/2022 12:00:00 AM,5 - 11 Years,81.41313009,0.276,0.185
01/13/2022 12:00:00 AM,12 - 17 Years,95.15254745,0.649,0.545
01/13/2022 12:00:00 AM,18 - 24 Years,102.4915839,0.741,0.598
01/13/2022 12:00:00 AM,25 - 39 Years,95.27680524,0.771,0.639
01/13/2022 12:00:00 AM,40 - 49 Years,84.94781832,0.845,0.721
01/13/2022 12:00:00 AM,50 - 64 Years,62.96361148,0.915,0.79
01/13/2022 12:00:00 AM,65 - 74 Years,36.91828878,0.95,0.903
01/13/2022 12:00:00 AM,75+ Years,39.03718202,0.95,0.848
01/12/2022 12:00:00 AM,5 - 11 Years,100.5852312,0.274,0.183
01/12/2022 12:00:00 AM,12 - 17 Years,118.0992353,0.648,0.544
01/12/2022 12:00:00 AM,18 - 24 Years,131.4863893,0.739,0.598
01/12/2022 12:00:00 AM,25 - 39 Years,121.2551327,0.77,0.639
01/12/2022 12:00:00 AM,40 - 49 Years,107.0818071,0.845,0.721
01/12/2022 12:00:00 AM,50 - 64 Years,79.11962985,0.915,0.79
01/12/2022 12:00:00 AM,65 - 74 Years,46.14881528,0.95,0.903
01/12/2022 12:00:00 AM,75+ Years,47.96200965,0.95,0.848
