indicatorDataSource,indicatorId,indicatorName,regionId,regionLevel,regionName,date,value
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-02-09,92.079933
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-02-10,92.0933281
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-02-11,92.0352505
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-02-12,91.9759634
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-02-13,91.962879
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-02-14,91.9906717
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-02-15,91.9949189
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-02-16,91.980357
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-02-17,91.9649366
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-02-18,91.9731512
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-02-19,91.9421181
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-02-20,91.8716991
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-02-21,91.7546036
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-02-22,91.6494346
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-02-23,91.4885984
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-02-24,91.3572198
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-02-25,91.224121
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-02-26,91.1190129
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-02-27,91.0486785
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-02-28,90.9527026
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-03-01,90.8763415
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-03-02,90.8564997
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-03-03,90.754086
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-03-04,90.6400877
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-03-05,90.5526983
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-03-06,90.4455925
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-03-07,90.3209199
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-03-08,90.2105904
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-03-09,90.1280513
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-03-10,90.0305606
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-03-11,89.9319198
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-03-12,89.837125
