Date,pct_dose_1_cumulative,pct_dose_2_cumulative,pct_dose_3_cumulative,Admin_Dose_1_Cumulative,Series_Complete_Cumulative,Booster_Cumulative,pop_total,total_dose_1,total_dose_2,total_dose_3,pct_1st_dose_18a,pct_2nd_dose_18a,age_pct,rel_dose1_age18,rel_dose2_age18,pct_dose_1,pct_dose_2,pct_dose_3
2020-12-13,0,0,0,21693,4670,0,333239062,6.509741045904157e-5,1.4013963345029461e-5,0,NA,NA,NA,NA,NA,0,0,0
2020-12-14,0,0,0,26004,4770,0,333239062,7.803406912722615e-5,1.4314048213231376e-5,0,0,0,0.09086016494337025,0,0,0,0,0
2020-12-15,0,0,0,72965,5002,0,333239062,2.1895692408352777e-4,1.5010245107459821e-5,0,0,0,0.09086016494337025,0,0,0,0,0
2020-12-16,0,0,0,227011,5443,0,333239062,6.812256601538508e-4,1.633361937623027e-5,0,0,0,0.09086016494337025,0,0,0,0,0
2020-12-17,0,0,0,491865,6159,0,333239062,0.0014760124369813524,1.8482227032555984e-5,0,0.001,0,0.09086016494337025,0.6775010663495065,0,0,0,0
2020-12-18,0,0,0,897742,7358,0,333239062,0.0026939878974932417,2.2080244602296953e-5,0,0.001,0,0.09086016494337025,0.37119691626324713,0,0,0,0
2020-12-19,0,0,0,1075553,8388,0,333239062,0.00322757180249175,2.5171118744776687e-5,0,0.001,0,0.09086016494337025,0.30983044257233255,0,0,0,0
2020-12-20,0,0,0,1178602,9139,0,333239062,0.003536806258325142,2.7424756104973073e-5,0,0.002,0,0.09086016494337025,0.5654819218022709,0,0,0,0
2020-12-21,0,0,0,1554046,10553,0,333239062,0.004663456890897142,3.166795614134816e-5,0,0.002,0,0.09086016494337025,0.4288664067858995,0,0,0,0
2020-12-22,0,0,0,1994479,13284,0,333239062,0.0059851296784648855,3.986327389194247e-5,0,0.003,0,0.09086016494337025,0.5012422722926639,0,0,0,0
2020-12-23,0,0,0,2556723,16106,0,333239062,0.007672338844838064,4.833166887260054e-5,0,0.004,0,0.09086016494337025,0.5213534074672931,0,0,0,0
2020-12-24,0,0,0,2747884,17252,0,333239062,0.008245984079741527,5.1770641462194486e-5,0,0.004,0,0.09086016494337025,0.48508461346985543,0,0,0,0
2020-12-25,0,0,0,2760396,17348,0,333239062,0.008283530698450952,5.205872293566833e-5,0,0.004,0,0.09086016494337025,0.4828858786927672,0,0,0,0
2020-12-26,0,0,0,2898541,18269,0,333239062,0.008698082939628489,5.482250457180797e-5,0,0.004,0,0.09086016494337025,0.4598714484287094,0,0,0,0
2020-12-27,0,0,0,2991921,19015,0,333239062,0.008978302189555436,5.7061137688594265e-5,0,0.004,0,0.09086016494337025,0.4455185307366071,0,0,0,0
2020-12-28,0,0,0,3566925,22965,0,333239062,0.01070380218511118,6.891448998256994e-5,0,0.005,0,0.09086016494337025,0.4671237298233072,0,0,0,0
2020-12-29,0,0,0,4267772,28024,0,333239062,0.01280693798135826,8.409578346490485e-5,0,0.006,0,0.09086016494337025,0.46849606117665143,0,0,0,0
2020-12-30,0,0,0,5089875,34973,0,333239062,0.015273944685392254,1.0494868095625597e-4,0,0.008,0,0.09086016494337025,0.5237677734718437,0,0,0,0
