week,alpha_pct,gamma_pct,delta_pct,other_pct,total_pct
2020-04-27,0,0,0,1,0.9621
2020-05-11,0,0,0,1,0.9317
2020-05-25,0,0,0,1,0.9733
2020-06-08,0,0,0,1,0.9072
2020-06-22,0,0,0,1,0.9306
2020-07-06,0,0,0,1,0.9726
2020-07-20,0,0,0,1,0.9787
2020-08-03,0,0,0,1,0.9524
2020-08-17,0,0,0,1,0.9863999999999999
2020-08-31,0,0,0,1,0.9669
2020-09-14,0,0,0,1,0.9624
2020-09-28,0,0,0,1,0.9307
2020-10-12,0,0,0,1,0.9599
2020-10-26,8.970276956481193e-4,0,0,0.9991029723043519,0.9941000000000001
2020-11-09,1.5675566788500464e-4,0,5.67559070685962e-5,0.9997864884250464,0.9914
2020-11-23,8.881456823311757e-4,0,0,0.9991118543176688,0.9914
2020-12-07,0.002671671517986866,0,1.2269009603479632e-5,0.9973160594724096,0.9992
2020-12-21,0.015123087376785208,0,3.481152395379757e-5,0.9848421010992611,1.0003
2020-12-28,0.021020349507586644,4.218917810895264e-5,1.0291030337957437e-4,0.9788345510109249,1.0003
2021-01-11,0.036455454696479275,3.6358821385448444e-4,1.0866305325793568e-5,0.9631700907843405,1.0003
2021-01-25,0.06591376375527007,1.7869665610220945e-4,4.970667527794509e-5,0.9338578329133498,1.0003
2021-02-08,0.09634887477593464,7.121081970850226e-4,2.6179513155701474e-4,0.9026772218954233,1.0003
2021-02-22,0.22073743637153476,0.00398557571945816,1.377954673742071e-4,0.7751391924416329,1.0003
2021-03-08,0.37125506916379253,0.00997988069741676,5.313755499882085e-5,0.6187119125837918,1.0003000000000002
2021-03-22,0.5218265410184698,0.028727841469587245,4.989348099780319e-4,0.44894668270196486,1.0003
2021-04-05,0.6250443006236195,0.05231897047425875,0.0040038017769524915,0.3186329271251691,1.0003000000000002
2021-04-19,0.6784717617631186,0.06986641764525653,0.014142409860618798,0.2375194107310062,1.0003
2021-05-03,0.6843365352330231,0.08849290998534223,0.02501101870831827,0.20215953607331638,1.0003
2021-05-17,0.6490929414378108,0.10687273865762342,0.06074883629409866,0.18328548361046704,1.0003
2021-05-31,0.5218724917303761,0.1140396788327344,0.194644161435421,0.1694436680014684,1.0003000000000002
2021-06-14,0.33653537598479955,0.08519149796863676,0.4494493123380788,0.128823813708485,1.0003
2021-06-28,0.11501110426931845,0.039757140982114976,0.7744006119559601,0.07083114279260647,1.0003
2021-07-12,0.028293799397655986,0.014252843899725665,0.9285164426960311,0.02893691400658725,1.0003
2021-07-26,0.007739997987435036,0.005389683974849523,0.9737223787180146,0.013147939319700874,1.0003
2021-08-09,0.002299511833890555,0.0018653023832663838,0.9899777439080143,0.005857441874828644,1.0003000000000002
2021-08-23,6.39169671235643e-4,8.457140631935965e-4,0.9948611111607165,0.0036540051048542625,1.0003
2021-09-06,8.888598061442962e-4,4.1941566166151927e-4,0.9957515422179501,0.0029401823142440877,1.0003
2021-09-20,0,0,0.9993240222304125,6.759777695875222e-4,0.3247
