week,state,total_sequences,alpha_pct,beta_pct,gamma_pct,delta_pct,omicron_pct,other_pct
2020-04-27,California,531,0,0,0,0,0,1
2020-05-11,California,524,0,0,0,0,0,1
2020-05-25,California,398,0,0,0,0,0,1
2020-06-08,California,362,0,0,0,0,0,1
2020-06-22,California,474,0,0,0,0,0,1
2020-07-06,California,900,0,0,0,0,0,1
2020-07-20,California,552,0,0,0,0,0,1
2020-08-03,California,336,0,0,0,0,0,1
2020-08-17,California,401,0,0,0,0,0,1
2020-08-31,California,502,0,0,0,0,0,1
2020-09-14,California,485,0,0,0,0,0,1
2020-09-28,California,870,0,0,0,0,0,1
2020-10-12,California,788,0,0,0,0,0,1
2020-10-26,California,731,0,0,0,0,0,1
2020-11-09,California,1651,0,0,0,0,0,1
2020-11-23,California,3366,0,0,0,0,0,1
2020-12-07,California,8838,6.788866259334691e-4,0,0,0,0,0.9993211133740665
2020-12-21,California,10085,0.010114030738720872,1.9831432821021318e-4,0,2.974714923153198e-4,0,0.9893901834407537
2021-01-11,California,10627,0.011762491766255764,1.8819986826009222e-4,0,9.409993413004611e-5,0,0.9879552084313541
2021-01-25,California,10135,0.019634928465712877,1.973359644795264e-4,0,0,0,0.9801677355698075
2021-02-08,California,10408,0.0441967717140661,4.8039969254419675e-4,0,0,0,0.9553228285933897
2021-02-22,California,7885,0.10551680405833862,0.0012682308180088776,0.0024096385542168677,1.2682308180088776e-4,0,0.8906785034876348
2021-03-08,California,7534,0.19631006105654367,0.0034510220334483675,0.01499867268383329,0.00026546323334218213,0,0.7849747809928325
2021-03-22,California,6345,0.33270291568163907,0.008195429472025216,0.04302600472813239,4.7281323877068556e-4,0,0.6156028368794327
2021-04-05,California,6201,0.48105144331559424,0.006934365424931463,0.07756813417190776,0.012901144976616674,0,0.4215449121109499
2021-04-19,California,5664,0.528072033898305,0.00847457627118644,0.1027542372881356,0.038312146892655365,0,0.32238700564971756
2021-05-03,California,5130,0.5524366471734893,0.005847953216374269,0.11072124756335283,0.04814814814814815,0,0.28284600389863546
2021-05-17,California,3234,0.5358688930117501,0.0021645021645021645,0.13388991960420532,0.08534322820037106,0,0.24273345701917137
2021-05-31,California,2853,0.3901156677181914,0.0010515247108307045,0.14265685243603224,0.30809674027339645,0,0.15807921486154922
2021-06-14,California,4298,0.2259190321079572,6.979990693345743e-4,0.08841321544904607,0.5709632387156817,0,0.11400651465798056
2021-06-28,California,9636,0.0730593607305936,2.0755500207555002e-4,0.04379410543794105,0.8183893731838937,0,0.06454960564549606
