age,Low,Middle,High
0,"3,742","3,745","3,748"
1,"3,783","3,788","3,792"
2,"3,878","3,885","3,890"
3,"3,971","3,978","3,983"
4,"4,053","4,062","4,067"
5,"4,080","4,090","4,097"
6,"4,050","4,061","4,068"
7,"4,054","4,066","4,074"
8,"4,073","4,086","4,094"
9,"4,113","4,127","4,136"
10,"4,211","4,227","4,237"
11,"4,320","4,337","4,349"
12,"4,451","4,469","4,480"
13,"4,427","4,447","4,459"
14,"4,328","4,347","4,358"
15,"4,291","4,310","4,322"
16,"4,329","4,347","4,358"
17,"4,268","4,288","4,300"
18,"4,288","4,308","4,321"
19,"4,354","4,375","4,387"
20,"4,307","4,331","4,346"
21,"4,273","4,298","4,313"
22,"4,246","4,273","4,289"
23,"4,266","4,292","4,308"
24,"4,319","4,343","4,360"
25,"4,390","4,411","4,429"
26,"4,486","4,506","4,524"
27,"4,575","4,595","4,614"
28,"4,668","4,689","4,710"
29,"4,741","4,763","4,786"
30,"4,704","4,728","4,751"
31,"4,592","4,617","4,641"
32,"4,514","4,540","4,565"
33,"4,472","4,497","4,523"
34,"4,495","4,520","4,547"
35,"4,455","4,479","4,505"
36,"4,411","4,435","4,462"
37,"4,472","4,497","4,524"
38,"4,427","4,452","4,481"
39,"4,403","4,429","4,458"
40,"4,325","4,350","4,379"
41,"4,166","4,190","4,219"
42,"4,108","4,131","4,160"
43,"4,004","4,024","4,054"
44,"3,931","3,948","3,978"
45,"3,954","3,967","3,997"
46,"3,892","3,901","3,932"
47,"3,984","3,990","4,021"
48,"4,200","4,205","4,236"
49,"4,441","4,447","4,478"
50,"4,286","4,294","4,325"
51,"4,152","4,162","4,193"
52,"4,059","4,071","4,102"
53,"4,110","4,124","4,155"
54,"4,179","4,195","4,228"
55,"4,360","4,377","4,410"
56,"4,432","4,447","4,480"
57,"4,429","4,443","4,477"
58,"4,464","4,477","4,511"
59,"4,428","4,443","4,477"
60,"4,352","4,367","4,401"
61,"4,283","4,300","4,334"
62,"4,254","4,273","4,307"
63,"4,107","4,129","4,163"
64,"3,978","4,003","4,038"
65,"3,865","3,894","3,929"
66,"3,704","3,737","3,771"
67,"3,568","3,603","3,639"
68,"3,445","3,483","3,519"
69,"3,205","3,245","3,283"
70,"3,112","3,152","3,192"
71,"3,023","3,064","3,106"
72,"3,020","3,063","3,107"
73,"3,000","3,043","3,089"
74,"2,134","2,171","2,211"
75,"2,100","2,141","2,249"
76,"2,065","2,104","2,210"
77,"2,022","2,059","2,163"
78,"1,731","1,762","1,851"
79,"1,550","1,577","1,657"
80,"1,413","1,437","1,510"
81,"1,328","1,350","1,418"
82,"1,217","1,237","1,300"
83,"1,084","1,101","1,156"
84,"1,002","1,017","1,069"
85,"5,980","6,063","6,375"
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
